name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;253;0;253;3063;1043;3063;1043;0
header;257;131;257;162;1882;162;1882;131
B;701;189;701;214;715;214;715;189
B;447;197;447;214;459;214;459;197
B;1002;197;1002;215;1015;215;1015;197
B;259;199;259;215;273;215;273;199
D;889;291;889;306;901;306;901;291
A;587;379;587;398;591;398;591;379
D;810;381;810;399;823;399;823;381
D;431;519;431;537;445;537;445;519
A;502;900;502;906;507;906;507;900
A;381;1157;381;1181;386;1181;386;1157
B;362;1164;362;1181;374;1181;374;1164
B;570;1443;570;1459;584;1459;584;1443
A;870;1481;870;1514;890;1514;890;1481
A;842;1482;842;1514;862;1514;862;1482
A;897;1482;897;1515;918;1515;918;1482
D;276;1725;276;1742;288;1742;288;1725
B;255;1865;255;1881;268;1881;268;1865
D;906;1957;906;1972;913;1972;913;1957
B;253;1958;253;1974;266;1974;266;1958
A;1037;2009;1037;2012;1043;2012;1043;2009
B;749;2049;749;2066;762;2066;762;2049
A;957;2074;957;2074;957;2074;957;2074
A;1035;2149;1035;2153;1043;2153;1043;2149
A;1033;2195;1033;2199;1043;2199;1043;2195
A;719;2319;719;2345;726;2345;726;2319
A;489;2414;489;2438;493;2438;493;2414
