name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;231;0;415;3061;1853;3061;1830;0
header;218;110;218;166;1906;166;1906;110
A;976;65;976;67;979;67;979;65
A;418;66;418;66;418;66;418;66
A;737;67;737;68;739;68;739;67
A;1424;177;1424;177;1424;177;1424;177
A;1019;186;1019;212;1040;212;1040;186
A;1469;249;1469;257;1474;257;1474;249
A;1660;264;1660;264;1661;264;1661;264
A;1401;496;1401;498;1401;498;1401;496
B;987;618;987;635;1003;635;1003;618
D;354;641;354;666;370;666;370;641
A;1083;799;1083;800;1085;800;1085;799
B;1017;858;1017;885;1039;885;1039;858
A;1172;913;1172;919;1180;919;1180;913
D;847;1129;847;1155;880;1155;880;1129
D;952;1311;952;1344;974;1344;974;1311
D;969;1358;969;1384;1003;1384;1003;1358
A;1664;1428;1664;1428;1664;1428;1664;1428
A;785;1451;785;1455;789;1455;789;1451
A;991;1510;991;1514;1002;1514;1002;1510
C;1016;1523;1016;1551;1037;1551;1037;1523
D;673;1587;673;1612;695;1612;695;1587
A;1614;1679;1614;1681;1615;1681;1615;1679
A;1799;1822;1799;1822;1800;1822;1800;1822
B;1748;1827;1748;1852;1774;1852;1774;1827
A;1112;1831;1112;1836;1120;1836;1120;1831
A;1148;2058;1148;2066;1155;2066;1155;2058
D;1023;2204;1023;2231;1043;2231;1043;2204
A;1707;2287;1707;2294;1715;2294;1715;2287
A;662;2691;662;2706;672;2706;672;2691
A;837;2931;837;2933;839;2933;839;2931
